iter	Passed	Remaining
0	184	184378
1	186	93077
2	187	62465
3	189	47162
4	192	38297
5	197	32797
6	211	30001
7	222	27571
8	224	24759
9	239	23677
10	244	21949
11	245	20205
12	246	18723
13	247	17457
14	249	16404
15	251	15453
16	253	14645
17	254	13876
18	255	13188
19	256	12568
20	259	12080
21	260	11570
22	261	11102
23	262	10674
24	263	10278
25	264	9912
26	265	9576
27	266	9266
28	267	8972
29	269	8697
30	270	8443
31	271	8216
32	272	7990
33	273	7776
34	274	7573
35	275	7382
36	276	7204
37	277	7032
38	278	6868
39	279	6713
40	280	6565
41	281	6425
42	282	6293
43	283	6167
44	285	6052
45	286	5940
46	287	5829
47	288	5727
48	289	5623
49	290	5523
50	291	5429
51	292	5337
52	293	5249
53	294	5164
54	295	5083
55	296	5005
56	298	4944
57	300	4873
58	301	4808
59	302	4740
60	303	4673
61	304	4609
62	305	4548
63	306	4488
64	307	4430
65	309	4374
66	310	4319
67	311	4267
68	312	4215
69	313	4165
70	314	4118
71	315	4072
72	317	4027
73	318	3981
74	319	3935
75	320	3892
76	321	3849
77	322	3807
78	323	3766
79	324	3727
80	325	3690
81	326	3653
82	326	3611
83	327	3575
84	328	3540
85	329	3505
86	330	3472
87	331	3439
88	332	3407
89	333	3375
90	334	3344
91	335	3314
92	336	3285
93	337	3256
94	339	3232
95	340	3204
96	341	3177
97	342	3151
98	343	3126
99	344	3102
100	345	3078
101	346	3053
102	347	3029
103	348	3005
104	349	2982
105	350	2959
106	351	2937
107	353	2916
108	354	2895
109	355	2874
110	356	2853
111	357	2833
112	358	2813
113	359	2795
114	361	2778
115	362	2760
116	363	2740
117	364	2721
118	365	2703
119	366	2691
120	376	2733
121	377	2719
122	380	2709
123	381	2695
124	390	2732
125	391	2718
126	392	2700
127	394	2685
128	395	2669
129	396	2652
130	397	2635
131	398	2619
132	399	2604
133	400	2589
134	402	2577
135	403	2563
136	404	2549
137	406	2539
138	407	2525
139	408	2511
140	409	2497
141	410	2481
142	411	2467
143	412	2453
144	413	2440
145	415	2427
146	416	2414
147	417	2401
148	418	2388
149	419	2376
150	420	2365
151	421	2352
152	422	2340
153	423	2328
154	424	2315
155	425	2304
156	427	2292
157	428	2281
158	429	2269
159	430	2257
160	430	2245
161	431	2234
162	432	2222
163	434	2212
164	435	2203
165	436	2193
166	437	2182
167	438	2172
168	439	2161
169	440	2152
170	441	2142
171	442	2131
172	444	2122
173	445	2112
174	446	2103
175	447	2093
176	448	2083
177	449	2074
178	450	2065
179	451	2056
180	452	2047
181	453	2038
182	454	2029
183	455	2020
184	456	2011
185	458	2007
186	460	2000
187	461	1992
188	462	1985
189	463	1976
190	465	1972
191	467	1965
192	468	1958
193	469	1950
194	470	1943
195	473	1940
196	474	1935
197	476	1929
198	477	1922
199	479	1916
200	480	1911
201	482	1906
202	484	1901
203	485	1895
204	487	1888
205	488	1882
206	489	1877
207	491	1870
208	492	1864
209	494	1860
210	495	1854
211	497	1848
212	498	1842
213	499	1835
214	501	1831
215	502	1825
216	504	1819
217	505	1813
218	506	1807
219	508	1801
220	509	1796
221	511	1791
222	512	1785
223	514	1782
224	516	1777
225	521	1786
226	523	1782
227	525	1779
228	526	1774
229	528	1768
230	532	1774
231	535	1771
232	538	1773
233	543	1779
234	545	1774
235	547	1772
236	549	1768
237	550	1763
238	552	1759
239	554	1755
240	555	1751
241	559	1752
242	561	1748
243	562	1743
244	564	1739
245	565	1733
246	566	1728
247	568	1724
248	570	1720
249	572	1716
250	573	1712
251	575	1708
252	577	1704
253	578	1700
254	580	1695
255	582	1691
256	584	1689
257	586	1685
258	588	1682
259	594	1691
260	596	1689
261	598	1685
262	600	1682
263	603	1681
264	604	1677
265	606	1673
266	608	1670
267	609	1666
268	611	1662
269	615	1663
270	617	1660
271	619	1657
272	620	1652
273	623	1652
274	625	1648
275	626	1643
276	628	1640
277	630	1637
278	632	1633
279	633	1629
280	636	1629
281	639	1628
282	641	1624
283	643	1621
284	644	1616
285	645	1611
286	647	1607
287	650	1606
288	652	1605
289	654	1603
290	656	1598
291	657	1595
292	659	1591
293	660	1587
294	661	1582
295	664	1580
296	666	1577
297	668	1574
298	670	1572
299	671	1567
300	672	1562
301	673	1557
302	675	1552
303	676	1547
304	677	1543
305	679	1541
306	681	1538
307	682	1534
308	685	1531
309	686	1528
310	690	1529
311	691	1525
312	695	1525
313	696	1522
314	708	1541
315	716	1550
316	717	1546
317	718	1541
318	720	1537
319	721	1532
320	722	1527
321	723	1523
322	724	1518
323	726	1515
324	727	1511
325	729	1507
326	730	1503
327	732	1500
328	735	1501
329	737	1496
330	737	1491
331	739	1487
332	740	1482
333	741	1479
334	743	1475
335	744	1471
336	745	1466
337	746	1462
338	748	1460
339	751	1458
340	752	1453
341	753	1448
342	753	1444
343	755	1440
344	757	1437
345	758	1433
346	759	1429
347	760	1425
348	763	1424
349	771	1432
350	772	1429
351	774	1424
352	775	1420
